"average_months_on_waiting_list","average_months_since_moved_in","county","percent_62_or_more_head_or_spouse","percent_85_or_more_head_or_spouse","percent_minority","percent_occupied","state","total_wait"
25,108,"=""Autauga County""",20,1,87,98,"=""AL""",133
44,91,"=""Baldwin County""",43,3,55,82,"=""AL""",135
6,97,"=""Barbour County""",29,2,87,83,"=""AL""",103
12,74,"=""Bibb County""",45,2,70,97,"=""AL""",86
8,76,"=""Blount County""",50,4,7,95,"=""AL""",84
8,62,"=""Bullock County""",24,2,99,81,"=""AL""",70
8,90,"=""Butler County""",29,2,87,83,"=""AL""",98
11,79,"=""Calhoun County""",34,2,63,82,"=""AL""",90
16,86,"=""Chambers County""",30,2,85,94,"=""AL""",102
6,57,"=""Cherokee County""",57,3,12,97,"=""AL""",63
6,80,"=""Chilton County""",36,2,57,98,"=""AL""",86
NA,93,"=""Clarke County""",8,NA,96,84,"=""AL""",92
4,85,"=""Clay County""",30,1,47,87,"=""AL""",89
8,72,"=""Cleburne County""",34,2,23,93,"=""AL""",80
7,72,"=""Coffee County""",30,2,65,89,"=""AL""",79
14,82,"=""Colbert County""",28,1,50,85,"=""AL""",96
2,90,"=""Conecuh County""",26,1,90,95,"=""AL""",92
20,91,"=""Coosa County""",16,NA,91,100,"=""AL""",111
9,75,"=""Covington County""",32,1,53,97,"=""AL""",84
5,76,"=""Crenshaw County""",29,1,73,91,"=""AL""",81
10,73,"=""Cullman County""",49,4,4,89,"=""AL""",83
34,82,"=""Dale County""",29,2,70,83,"=""AL""",116
17,97,"=""Dallas County""",26,1,97,79,"=""AL""",114
7,69,"=""DeKalb County""",41,2,8,97,"=""AL""",76
9,85,"=""Elmore County""",33,0,71,79,"=""AL""",94
10,87,"=""Escambia County""",36,3,84,89,"=""AL""",97
6,75,"=""Etowah County""",30,1,53,90,"=""AL""",81
6,82,"=""Fayette County""",27,2,42,96,"=""AL""",88
3,57,"=""Franklin County""",38,2,8,94,"=""AL""",60
11,95,"=""Geneva County""",36,2,41,96,"=""AL""",106
75,141,"=""Greene County""",19,0,97,95,"=""AL""",216
NA,86,"=""Hale County""",17,NA,96,93,"=""AL""",85
8,91,"=""Henry County""",41,4,67,88,"=""AL""",99
377,71,"=""Houston County""",27,2,79,88,"=""AL""",448
6,79,"=""Jackson County""",37,2,15,95,"=""AL""",85
18,102,"=""Jefferson County""",27,1,94,87,"=""AL""",120
5,78,"=""Lamar County""",26,2,38,95,"=""AL""",83
8,67,"=""Lauderdale County""",37,2,44,80,"=""AL""",75
32,60,"=""Lawrence County""",25,NA,34,95,"=""AL""",92
29,91,"=""Lee County""",24,2,90,84,"=""AL""",120
21,83,"=""Limestone County""",31,1,49,81,"=""AL""",104
12,56,"=""Lowndes County""",9,1,98,81,"=""AL""",68
7,91,"=""Macon County""",25,1,98,82,"=""AL""",98
21,84,"=""Madison County""",32,2,79,86,"=""AL""",105
17,109,"=""Marengo County""",21,1,98,87,"=""AL""",126
3,73,"=""Marion County""",36,3,17,98,"=""AL""",76
6,74,"=""Marshall County""",38,2,14,93,"=""AL""",80
16,99,"=""Mobile County""",26,1,90,80,"=""AL""",115
3,59,"=""Monroe County""",34,1,73,92,"=""AL""",62
25,92,"=""Montgomery County""",23,1,94,98,"=""AL""",117
31,94,"=""Morgan County""",43,4,55,73,"=""AL""",125
7,100,"=""Perry County""",18,0,100,87,"=""AL""",107
10,114,"=""Pickens County""",24,2,86,95,"=""AL""",124
8,83,"=""Pike County""",22,3,85,84,"=""AL""",91
7,88,"=""Randolph County""",49,5,59,90,"=""AL""",95
18,81,"=""Russell County""",25,1,89,82,"=""AL""",99
12,79,"=""St. Clair County""",31,0,50,91,"=""AL""",91
25,82,"=""Shelby County""",33,1,62,94,"=""AL""",107
14,102,"=""Sumter County""",28,2,98,86,"=""AL""",116
5,69,"=""Talladega County""",32,2,75,95,"=""AL""",74
12,87,"=""Tallapoosa County""",32,1,78,97,"=""AL""",99
34,93,"=""Tuscaloosa County""",29,2,88,84,"=""AL""",127
5,69,"=""Walker County""",33,1,30,74,"=""AL""",74
6,120,"=""Washington County""",19,NA,90,99,"=""AL""",126
8,125,"=""Wilcox County""",23,1,97,96,"=""AL""",133
3,73,"=""Winston County""",39,3,4,95,"=""AL""",76
2,79,"=""Anchorage Municipality""",41,3,66,90,"=""AK""",81
NA,97,"=""Bethel Census Area""",21,2,98,91,"=""AK""",96
NA,67,"=""Chugach Census Area""",49,1,29,90,"=""AK""",66
NA,NA,"=""Dillingham Census Area""",NA,NA,NA,NA,"=""AK""",-8
NA,72,"=""Fairbanks North Star Borough""",33,1,46,90,"=""AK""",71
NA,NA,"=""Haines Borough""",NA,NA,NA,NA,"=""AK""",-8
NA,NA,"=""Hoonah-Angoon Census Area""",NA,NA,NA,NA,"=""AK""",-8
NA,91,"=""Juneau City and Borough""",41,2,60,86,"=""AK""",90
NA,65,"=""Kenai Peninsula Borough""",46,3,21,89,"=""AK""",64
NA,85,"=""Ketchikan Gateway Borough""",50,2,40,93,"=""AK""",84
NA,61,"=""Kodiak Island Borough""",28,1,61,91,"=""AK""",60
NA,NA,"=""Kusilvak Census Area""",NA,NA,NA,NA,"=""AK""",-8
NA,79,"=""Matanuska-Susitna Borough""",45,2,16,88,"=""AK""",78
NA,127,"=""Nome Census Area""",26,NA,83,70,"=""AK""",126
NA,NA,"=""Northwest Arctic Borough""",NA,NA,NA,NA,"=""AK""",-8
NA,71,"=""Petersburg Borough""",41,2,27,94,"=""AK""",70
NA,NA,"=""Prince of Wales-Hyder Census Area""",NA,NA,NA,NA,"=""AK""",-8
NA,63,"=""Sitka City and Borough""",44,2,36,94,"=""AK""",62
NA,57,"=""Wrangell City and Borough""",29,NA,50,91,"=""AK""",56
14,98,"=""Apache County""",57,8,61,88,"=""AZ""",112
5,87,"=""Cochise County""",52,4,61,90,"=""AZ""",92
26,99,"=""Coconino County""",32,1,54,86,"=""AZ""",125
19,65,"=""Gila County""",56,4,37,97,"=""AZ""",84
NA,72,"=""Graham County""",78,7,39,91,"=""AZ""",71
26,99,"=""Maricopa County""",42,3,64,90,"=""AZ""",125
25,82,"=""Mohave County""",63,2,17,75,"=""AZ""",107
9,85,"=""Navajo County""",35,1,66,85,"=""AZ""",94
14,100,"=""Pima County""",39,3,64,92,"=""AZ""",114
47,97,"=""Pinal County""",35,1,65,79,"=""AZ""",144
11,125,"=""Santa Cruz County""",55,7,97,93,"=""AZ""",136
3,71,"=""Yavapai County""",86,7,11,74,"=""AZ""",74
17,79,"=""Yuma County""",37,3,81,106,"=""AZ""",96
11,71,"=""Arkansas County""",32,2,71,57,"=""AR""",82
21,75,"=""Ashley County""",36,1,70,87,"=""AR""",96
3,65,"=""Baxter County""",42,4,6,82,"=""AR""",68
32,74,"=""Benton County""",56,6,17,78,"=""AR""",106
10,53,"=""Boone County""",40,4,4,84,"=""AR""",63
9,86,"=""Bradley County""",32,2,89,89,"=""AR""",95
3,42,"=""Calhoun County""",24,NA,71,77,"=""AR""",45
8,61,"=""Carroll County""",48,3,7,89,"=""AR""",69
64,72,"=""Chicot County""",39,0,94,59,"=""AR""",136
11,65,"=""Clark County""",32,0,62,73,"=""AR""",76
1,73,"=""Clay County""",50,3,1,78,"=""AR""",74
5,47,"=""Cleburne County""",36,1,8,93,"=""AR""",52
3,31,"=""Cleveland County""",16,NA,68,97,"=""AR""",34
13,79,"=""Columbia County""",51,7,76,81,"=""AR""",92
25,52,"=""Conway County""",28,1,33,98,"=""AR""",77
20,80,"=""Craighead County""",28,2,62,95,"=""AR""",100
4,61,"=""Crawford County""",37,1,11,82,"=""AR""",65
10,84,"=""Crittenden County""",36,1,96,93,"=""AR""",94
29,77,"=""Cross County""",37,2,62,70,"=""AR""",106
4,77,"=""Dallas County""",43,2,75,87,"=""AR""",81
12,71,"=""Desha County""",24,1,91,88,"=""AR""",83
14,58,"=""Drew County""",35,2,69,94,"=""AR""",72
17,79,"=""Faulkner County""",40,3,45,91,"=""AR""",96
7,56,"=""Franklin County""",35,1,4,89,"=""AR""",63
2,62,"=""Fulton County""",42,1,2,93,"=""AR""",64
11,61,"=""Garland County""",36,1,41,87,"=""AR""",72
8,77,"=""Grant County""",72,3,8,80,"=""AR""",85
5,52,"=""Greene County""",32,2,21,81,"=""AR""",57
8,85,"=""Hempstead County""",37,3,71,79,"=""AR""",93
4,52,"=""Hot Spring County""",27,1,42,91,"=""AR""",56
3,86,"=""Howard County""",36,2,53,93,"=""AR""",89
7,68,"=""Independence County""",47,6,9,94,"=""AR""",75
3,52,"=""Izard County""",41,2,3,93,"=""AR""",55
4,72,"=""Jackson County""",22,1,56,92,"=""AR""",76
7,72,"=""Jefferson County""",35,1,97,82,"=""AR""",79
4,59,"=""Johnson County""",36,2,13,86,"=""AR""",63
3,53,"=""Lafayette County""",49,NA,84,86,"=""AR""",56
2,54,"=""Lawrence County""",37,2,3,89,"=""AR""",56
19,77,"=""Lee County""",24,1,95,75,"=""AR""",96
18,54,"=""Lincoln County""",41,2,65,70,"=""AR""",72
4,72,"=""Little River County""",34,3,65,93,"=""AR""",76
15,45,"=""Logan County""",41,3,7,88,"=""AR""",60
5,70,"=""Lonoke County""",43,3,32,81,"=""AR""",75
3,43,"=""Madison County""",35,NA,8,88,"=""AR""",46
25,49,"=""Marion County""",43,2,5,88,"=""AR""",74
6,57,"=""Miller County""",22,1,80,80,"=""AR""",63
22,72,"=""Mississippi County""",28,2,76,79,"=""AR""",94
5,77,"=""Monroe County""",39,4,69,92,"=""AR""",82
NA,39,"=""Montgomery County""",65,NA,0,99,"=""AR""",38
23,71,"=""Nevada County""",28,1,74,85,"=""AR""",94
2,59,"=""Newton County""",41,NA,3,82,"=""AR""",61
9,93,"=""Ouachita County""",24,2,88,91,"=""AR""",102
8,34,"=""Perry County""",56,2,5,102,"=""AR""",42
7,80,"=""Phillips County""",29,1,93,81,"=""AR""",87
7,42,"=""Pike County""",50,3,8,97,"=""AR""",49
12,64,"=""Poinsett County""",34,2,28,96,"=""AR""",76
3,64,"=""Polk County""",38,3,2,75,"=""AR""",67
3,65,"=""Pope County""",33,2,18,86,"=""AR""",68
33,91,"=""Prairie County""",32,3,49,86,"=""AR""",124
14,80,"=""Pulaski County""",30,1,85,83,"=""AR""",94
2,42,"=""Randolph County""",32,1,6,89,"=""AR""",44
29,71,"=""St. Francis County""",24,1,93,85,"=""AR""",100
11,83,"=""Saline County""",33,2,45,71,"=""AR""",94
17,44,"=""Scott County""",34,3,6,86,"=""AR""",61
9,123,"=""Searcy County""",41,NA,0,87,"=""AR""",132
8,62,"=""Sebastian County""",35,2,36,86,"=""AR""",70
8,65,"=""Sevier County""",38,4,22,91,"=""AR""",73
3,59,"=""Sharp County""",44,4,8,93,"=""AR""",62
4,59,"=""Stone County""",34,2,6,92,"=""AR""",63
25,78,"=""Union County""",27,1,87,80,"=""AR""",103
5,66,"=""Van Buren County""",42,3,9,94,"=""AR""",71
30,72,"=""Washington County""",39,3,30,89,"=""AR""",102
13,56,"=""White County""",42,2,20,94,"=""AR""",69
4,67,"=""Woodruff County""",34,1,50,93,"=""AR""",71
41,55,"=""Yell County""",44,4,9,83,"=""AR""",96
26,162,"=""Alameda County""",51,8,86,86,"=""CA""",188
5,99,"=""Amador County""",49,2,13,92,"=""CA""",104
13,88,"=""Butte County""",38,2,36,98,"=""CA""",101
5,86,"=""Calaveras County""",54,1,12,92,"=""CA""",91
10,81,"=""Colusa County""",55,5,58,92,"=""CA""",91
21,163,"=""Contra Costa County""",43,5,77,90,"=""CA""",184
4,90,"=""Del Norte County""",42,2,20,72,"=""CA""",94
9,107,"=""El Dorado County""",57,6,20,85,"=""CA""",116
38,115,"=""Fresno County""",28,2,84,90,"=""CA""",153
6,80,"=""Glenn County""",57,3,24,95,"=""CA""",86
17,101,"=""Humboldt County""",49,3,21,71,"=""CA""",118
28,130,"=""Imperial County""",48,5,97,87,"=""CA""",158
1,121,"=""Inyo County""",41,NA,35,93,"=""CA""",122
43,97,"=""Kern County""",31,2,77,88,"=""CA""",140
67,113,"=""Kings County""",26,1,81,77,"=""CA""",180
37,114,"=""Lake County""",61,5,20,84,"=""CA""",151
13,72,"=""Lassen County""",67,4,17,96,"=""CA""",85
29,150,"=""Los Angeles County""",54,9,79,87,"=""CA""",179
31,106,"=""Madera County""",35,3,84,85,"=""CA""",137
14,153,"=""Marin County""",52,6,45,90,"=""CA""",167
2,125,"=""Mariposa County""",56,2,13,92,"=""CA""",127
10,93,"=""Mendocino County""",50,4,26,79,"=""CA""",103
27,118,"=""Merced County""",28,2,79,79,"=""CA""",145
NA,85,"=""Modoc County""",36,1,20,88,"=""CA""",84
NA,NA,"=""Mono County""",NA,NA,NA,NA,"=""CA""",-8
21,118,"=""Monterey County""",47,5,73,73,"=""CA""",139
30,124,"=""Napa County""",49,6,45,76,"=""CA""",154
8,63,"=""Nevada County""",47,2,16,94,"=""CA""",71
46,152,"=""Orange County""",61,10,72,86,"=""CA""",198
27,99,"=""Placer County""",64,8,25,90,"=""CA""",126
13,98,"=""Plumas County""",45,0,20,87,"=""CA""",111
53,107,"=""Riverside County""",55,6,70,88,"=""CA""",160
38,136,"=""Sacramento County""",44,4,69,89,"=""CA""",174
72,121,"=""San Benito County""",30,1,81,87,"=""CA""",193
8,110,"=""San Bernardino County""",43,4,84,91,"=""CA""",118
103,249,"=""San Diego County""",52,7,65,92,"=""CA""",352
15,139,"=""San Francisco County""",63,14,75,90,"=""CA""",154
26,120,"=""San Joaquin County""",40,3,82,82,"=""CA""",146
10,93,"=""San Luis Obispo County""",44,3,34,91,"=""CA""",103
70,131,"=""San Mateo County""",59,10,68,89,"=""CA""",201
19,123,"=""Santa Barbara County""",46,4,61,87,"=""CA""",142
NA,175,"=""Santa Clara County""",57,11,81,93,"=""CA""",174
51,133,"=""Santa Cruz County""",44,3,57,92,"=""CA""",184
11,84,"=""Shasta County""",45,3,22,88,"=""CA""",95
NA,NA,"=""Sierra County""",NA,NA,NA,NA,"=""CA""",-8
17,97,"=""Siskiyou County""",59,3,24,83,"=""CA""",114
26,140,"=""Solano County""",45,4,75,72,"=""CA""",166
17,118,"=""Sonoma County""",55,5,32,90,"=""CA""",135
14,115,"=""Stanislaus County""",47,4,49,93,"=""CA""",129
14,79,"=""Sutter County""",42,2,49,94,"=""CA""",93
13,73,"=""Tehama County""",45,4,23,91,"=""CA""",86
7,83,"=""Trinity County""",82,2,11,85,"=""CA""",90
13,60,"=""Tulare County""",35,3,73,83,"=""CA""",73
5,97,"=""Tuolumne County""",45,3,16,93,"=""CA""",102
47,138,"=""Ventura County""",52,7,66,88,"=""CA""",185
35,131,"=""Yolo County""",48,6,51,83,"=""CA""",166
9,84,"=""Yuba County""",35,2,42,91,"=""CA""",93
25,93,"=""Adams County""",34,2,69,91,"=""CO""",118
25,71,"=""Alamosa County""",31,3,64,94,"=""CO""",96
20,112,"=""Arapahoe County""",39,4,66,85,"=""CO""",132
NA,85,"=""Archuleta County""",56,8,35,90,"=""CO""",84
NA,68,"=""Baca County""",80,7,11,93,"=""CO""",67
6,64,"=""Bent County""",31,3,39,78,"=""CO""",70
11,107,"=""Boulder County""",40,3,37,88,"=""CO""",118
8,111,"=""Broomfield County""",67,12,25,92,"=""CO""",119
43,87,"=""Chaffee County""",68,5,13,90,"=""CO""",130
NA,NA,"=""Cheyenne County""",NA,NA,NA,NA,"=""CO""",-8
13,82,"=""Clear Creek County""",53,7,7,82,"=""CO""",95
4,83,"=""Conejos County""",46,6,58,91,"=""CO""",87
4,75,"=""Costilla County""",21,4,80,94,"=""CO""",79
NA,61,"=""Crowley County""",77,19,23,92,"=""CO""",60
NA,NA,"=""Custer County""",NA,NA,NA,NA,"=""CO""",-8
13,77,"=""Delta County""",61,7,16,95,"=""CO""",90
18,99,"=""Denver County""",41,3,71,92,"=""CO""",117
NA,NA,"=""Dolores County""",NA,NA,NA,NA,"=""CO""",-8
82,122,"=""Douglas County""",37,2,40,80,"=""CO""",204
1,98,"=""Eagle County""",14,NA,79,87,"=""CO""",99
NA,116,"=""Elbert County""",75,33,25,77,"=""CO""",115
17,108,"=""El Paso County""",38,2,53,85,"=""CO""",125
41,95,"=""Fremont County""",52,4,10,85,"=""CO""",136
22,76,"=""Garfield County""",59,5,17,90,"=""CO""",98
15,105,"=""Gilpin County""",50,NA,12,77,"=""CO""",120
21,103,"=""Grand County""",83,8,8,88,"=""CO""",124
60,73,"=""Gunnison County""",55,2,14,87,"=""CO""",133
5,93,"=""Huerfano County""",52,3,52,97,"=""CO""",98
NA,NA,"=""Jackson County""",NA,NA,NA,NA,"=""CO""",-8
19,101,"=""Jefferson County""",45,4,45,84,"=""CO""",120
NA,NA,"=""Kiowa County""",NA,NA,NA,NA,"=""CO""",-8
4,57,"=""Kit Carson County""",27,1,28,94,"=""CO""",61
NA,73,"=""Lake County""",58,6,29,94,"=""CO""",72
28,77,"=""La Plata County""",40,2,29,83,"=""CO""",105
21,98,"=""Larimer County""",41,3,26,82,"=""CO""",119
6,92,"=""Las Animas County""",36,2,52,82,"=""CO""",98
12,82,"=""Lincoln County""",69,3,11,89,"=""CO""",94
18,83,"=""Logan County""",36,2,18,88,"=""CO""",101
18,79,"=""Mesa County""",42,3,20,86,"=""CO""",97
NA,72,"=""Moffat County""",49,6,10,82,"=""CO""",71
10,71,"=""Montezuma County""",39,1,29,89,"=""CO""",81
10,85,"=""Montrose County""",66,5,13,93,"=""CO""",95
4,79,"=""Morgan County""",67,10,23,89,"=""CO""",83
10,74,"=""Otero County""",38,2,58,84,"=""CO""",84
NA,NA,"=""Ouray County""",NA,NA,NA,NA,"=""CO""",-8
NA,NA,"=""Park County""",NA,NA,NA,NA,"=""CO""",-8
11,84,"=""Phillips County""",54,10,11,98,"=""CO""",95
NA,NA,"=""Pitkin County""",NA,NA,NA,NA,"=""CO""",-8
6,76,"=""Prowers County""",35,2,40,92,"=""CO""",82
18,103,"=""Pueblo County""",37,2,59,81,"=""CO""",121
NA,69,"=""Rio Blanco County""",32,2,7,91,"=""CO""",68
NA,74,"=""Rio Grande County""",62,8,61,93,"=""CO""",73
12,94,"=""Routt County""",42,NA,6,80,"=""CO""",106
5,89,"=""Saguache County""",43,4,68,77,"=""CO""",94
NA,NA,"=""San Juan County""",NA,NA,NA,NA,"=""CO""",-8
NA,136,"=""San Miguel County""",54,NA,8,77,"=""CO""",135
11,57,"=""Sedgwick County""",25,NA,13,75,"=""CO""",68
NA,NA,"=""Summit County""",NA,NA,NA,NA,"=""CO""",-8
3,135,"=""Teller County""",56,6,6,77,"=""CO""",138
NA,61,"=""Washington County""",73,4,4,84,"=""CO""",60
22,85,"=""Weld County""",49,4,55,87,"=""CO""",107
6,74,"=""Yuma County""",67,4,15,92,"=""CO""",80
36,134,"=""Capitol Planning Region""",42,4,78,90,"=""CT""",170
32,136,"=""Greater Bridgeport Planning Region""",41,4,89,93,"=""CT""",168
7,112,"=""Lower Connecticut River Valley Planning Region""",48,4,47,74,"=""CT""",119
24,112,"=""Naugatuck Valley Planning Region""",40,4,64,88,"=""CT""",136
12,99,"=""Northeastern Connecticut Planning Region""",40,5,18,93,"=""CT""",111
17,107,"=""Northwest Hills Planning Region""",58,6,26,80,"=""CT""",124
31,219,"=""South Central Connecticut Planning Region""",39,4,75,90,"=""CT""",250
15,107,"=""Southeastern Connecticut Planning Region""",43,4,58,93,"=""CT""",122
21,126,"=""Western Connecticut Planning Region""",47,6,72,91,"=""CT""",147
41,95,"=""Kent County""",41,3,74,74,"=""DE""",136
37,113,"=""New Castle County""",42,4,81,87,"=""DE""",150
NA,97,"=""Sussex County""",33,2,60,81,"=""DE""",96
16,348,"=""District of Columbia""",39,3,97,76,"=""DC""",364
16,94,"=""Alachua County""",27,1,80,75,"=""FL""",110
18,81,"=""Baker County""",28,NA,41,79,"=""FL""",99
20,71,"=""Bay County""",34,2,59,73,"=""FL""",91
6,84,"=""Bradford County""",25,2,70,77,"=""FL""",90
13,85,"=""Brevard County""",40,3,64,88,"=""FL""",98
27,141,"=""Broward County""",39,5,91,89,"=""FL""",168
6,93,"=""Calhoun County""",28,2,52,88,"=""FL""",99
15,74,"=""Charlotte County""",66,6,31,96,"=""FL""",89
1,107,"=""Citrus County""",47,2,20,72,"=""FL""",108
26,102,"=""Clay County""",30,2,68,93,"=""FL""",128
25,111,"=""Collier County""",70,8,80,88,"=""FL""",136
22,78,"=""Columbia County""",33,1,64,83,"=""FL""",100
24,57,"=""DeSoto County""",14,NA,68,100,"=""FL""",81
NA,104,"=""Dixie County""",25,NA,75,88,"=""FL""",103
27,80,"=""Duval County""",35,2,82,96,"=""FL""",107
36,100,"=""Escambia County""",32,1,82,84,"=""FL""",136
26,111,"=""Flagler County""",43,2,60,92,"=""FL""",137
1,126,"=""Franklin County""",42,3,42,86,"=""FL""",127
25,88,"=""Gadsden County""",14,1,95,78,"=""FL""",113
127,60,"=""Gilchrist County""",26,NA,38,85,"=""FL""",187
8,88,"=""Gulf County""",56,NA,47,74,"=""FL""",96
7,95,"=""Hamilton County""",28,1,90,82,"=""FL""",102
NA,58,"=""Hardee County""",17,NA,58,77,"=""FL""",57
40,99,"=""Hendry County""",31,1,90,89,"=""FL""",139
40,121,"=""Hernando County""",52,4,59,91,"=""FL""",161
5,78,"=""Highlands County""",54,5,77,86,"=""FL""",83
28,103,"=""Hillsborough County""",40,3,89,94,"=""FL""",131
27,58,"=""Holmes County""",36,2,14,74,"=""FL""",85
24,90,"=""Indian River County""",64,7,42,93,"=""FL""",114
6,66,"=""Jackson County""",22,1,59,83,"=""FL""",72
20,83,"=""Jefferson County""",14,1,91,78,"=""FL""",103
NA,99,"=""Lafayette County""",28,NA,53,93,"=""FL""",98
10,112,"=""Lake County""",29,1,74,89,"=""FL""",122
31,92,"=""Lee County""",45,4,74,77,"=""FL""",123
27,110,"=""Leon County""",25,1,89,78,"=""FL""",137
68,84,"=""Levy County""",24,0,62,74,"=""FL""",152
8,95,"=""Liberty County""",50,6,56,84,"=""FL""",103
9,81,"=""Madison County""",13,0,95,83,"=""FL""",90
17,108,"=""Manatee County""",37,2,72,88,"=""FL""",125
22,89,"=""Marion County""",36,2,77,83,"=""FL""",111
29,102,"=""Martin County""",60,6,56,93,"=""FL""",131
45,129,"=""Miami-Dade County""",60,9,97,87,"=""FL""",174
32,139,"=""Monroe County""",50,3,72,97,"=""FL""",171
23,120,"=""Nassau County""",24,2,62,88,"=""FL""",143
19,78,"=""Okaloosa County""",44,2,40,81,"=""FL""",97
1,89,"=""Okeechobee County""",86,5,19,78,"=""FL""",90
37,212,"=""Orange County""",44,4,89,91,"=""FL""",249
43,150,"=""Osceola County""",34,2,95,87,"=""FL""",193
24,123,"=""Palm Beach County""",41,5,87,85,"=""FL""",147
17,101,"=""Pasco County""",39,3,44,77,"=""FL""",118
18,93,"=""Pinellas County""",47,3,61,90,"=""FL""",111
25,100,"=""Polk County""",40,4,80,88,"=""FL""",125
15,98,"=""Putnam County""",31,2,75,86,"=""FL""",113
23,75,"=""St. Johns County""",40,2,51,92,"=""FL""",98
52,106,"=""St. Lucie County""",28,1,90,85,"=""FL""",158
19,108,"=""Santa Rosa County""",27,2,45,101,"=""FL""",127
20,92,"=""Sarasota County""",49,5,55,88,"=""FL""",112
53,161,"=""Seminole County""",29,2,86,85,"=""FL""",214
NA,246,"=""Sumter County""",73,7,73,71,"=""FL""",245
14,73,"=""Suwannee County""",52,9,42,88,"=""FL""",87
7,92,"=""Taylor County""",19,NA,82,84,"=""FL""",99
9,67,"=""Union County""",36,2,44,94,"=""FL""",76
26,83,"=""Volusia County""",45,4,65,78,"=""FL""",109
NA,121,"=""Wakulla County""",28,3,66,54,"=""FL""",120
4,71,"=""Walton County""",34,1,36,71,"=""FL""",75
6,64,"=""Washington County""",26,1,49,87,"=""FL""",70
1,89,"=""Appling County""",38,1,63,92,"=""GA""",90
14,56,"=""Atkinson County""",23,1,67,97,"=""GA""",70
2,85,"=""Bacon County""",19,NA,83,91,"=""GA""",87
8,79,"=""Baker County""",23,3,95,93,"=""GA""",87
NA,73,"=""Baldwin County""",26,1,89,71,"=""GA""",72
NA,46,"=""Banks County""",41,NA,14,96,"=""GA""",45
12,124,"=""Barrow County""",41,2,68,83,"=""GA""",136
NA,98,"=""Bartow County""",40,3,51,87,"=""GA""",97
5,81,"=""Ben Hill County""",21,0,88,92,"=""GA""",86
14,84,"=""Berrien County""",28,NA,48,98,"=""GA""",98
16,99,"=""Bibb County""",31,2,93,83,"=""GA""",115
NA,83,"=""Bleckley County""",47,6,59,64,"=""GA""",82
27,84,"=""Brantley County""",27,NA,27,90,"=""GA""",111
7,84,"=""Brooks County""",26,0,93,92,"=""GA""",91
18,97,"=""Bryan County""",55,4,66,83,"=""GA""",115
18,94,"=""Bulloch County""",26,1,85,87,"=""GA""",112
13,99,"=""Burke County""",20,0,97,89,"=""GA""",112
31,102,"=""Butts County""",52,1,70,96,"=""GA""",133
7,89,"=""Calhoun County""",19,1,100,93,"=""GA""",96
29,83,"=""Camden County""",22,1,79,82,"=""GA""",112
35,96,"=""Candler County""",24,2,83,98,"=""GA""",131
19,100,"=""Carroll County""",30,1,78,78,"=""GA""",119
16,91,"=""Catoosa County""",44,3,14,91,"=""GA""",107
NA,100,"=""Charlton County""",31,NA,84,95,"=""GA""",99
89,88,"=""Chatham County""",30,2,93,89,"=""GA""",177
NA,NA,"=""Chattahoochee County""",NA,NA,NA,NA,"=""GA""",-8
6,85,"=""Chattooga County""",40,2,24,94,"=""GA""",91
9,90,"=""Cherokee County""",30,3,63,70,"=""GA""",99
19,112,"=""Clarke County""",30,3,86,86,"=""GA""",131
6,75,"=""Clay County""",13,NA,98,90,"=""GA""",81
24,111,"=""Clayton County""",20,1,96,89,"=""GA""",135
47,119,"=""Clinch County""",11,NA,95,97,"=""GA""",166
15,128,"=""Cobb County""",51,4,82,96,"=""GA""",143
3,74,"=""Coffee County""",25,1,88,93,"=""GA""",77
10,91,"=""Colquitt County""",26,1,85,91,"=""GA""",101
33,134,"=""Columbia County""",48,2,70,81,"=""GA""",167
25,78,"=""Cook County""",12,NA,88,87,"=""GA""",103
22,114,"=""Coweta County""",31,2,87,85,"=""GA""",136
NA,92,"=""Crawford County""",30,NA,70,82,"=""GA""",91
13,119,"=""Crisp County""",25,1,97,90,"=""GA""",132
NA,109,"=""Dade County""",36,NA,7,65,"=""GA""",108
NA,NA,"=""Dawson County""",NA,NA,NA,NA,"=""GA""",-8
1,78,"=""Decatur County""",19,0,87,83,"=""GA""",79
22,123,"=""DeKalb County""",44,4,94,85,"=""GA""",145
2,81,"=""Dodge County""",31,1,72,91,"=""GA""",83
4,114,"=""Dooly County""",28,2,92,96,"=""GA""",118
14,98,"=""Dougherty County""",23,1,97,78,"=""GA""",112
30,122,"=""Douglas County""",26,1,89,72,"=""GA""",152
33,108,"=""Early County""",30,2,97,90,"=""GA""",141
22,184,"=""Effingham County""",37,2,94,63,"=""GA""",206
NA,104,"=""Elbert County""",29,4,82,91,"=""GA""",103
21,100,"=""Emanuel County""",25,1,88,96,"=""GA""",121
14,108,"=""Evans County""",37,2,88,97,"=""GA""",122
16,96,"=""Fannin County""",41,2,1,92,"=""GA""",112
10,117,"=""Fayette County""",50,7,70,77,"=""GA""",127
11,76,"=""Floyd County""",37,2,64,79,"=""GA""",87
60,127,"=""Forsyth County""",46,6,32,76,"=""GA""",187
10,73,"=""Franklin County""",39,2,41,84,"=""GA""",83
22,105,"=""Fulton County""",45,3,94,84,"=""GA""",127
9,104,"=""Gilmer County""",60,6,2,95,"=""GA""",113
NA,NA,"=""Glascock County""",NA,NA,NA,NA,"=""GA""",-8
44,87,"=""Glynn County""",32,3,80,88,"=""GA""",131
8,76,"=""Gordon County""",46,2,25,93,"=""GA""",84
